,0
0,0.0018049199425716686
1,0.0015423905996355405
2,1.5569158323580138e-06
3,0.0012843014788362875
4,0.0010786560981318547
5,0.0012739357069391864
6,0.0010501447173408517
7,0.0010446789712465969
8,0.0010391690820418507
9,0.001252694741351956
10,0.001498412739883141
11,0.0017552446351581823
12,0.0014882023730061855
13,0.0014623856133823823
14,0.0014570340525559566
15,0.001219455638356277
16,0.0010121100552078098
17,0.0010062458474673721
18,0.001000327866385361
19,0.0009943549749261533
20,0.0009883259997975576
21,0.0009822397300428406
22,0.0011783261667259208
23,0.001172221957348279
24,0.0011890964345175304
25,0.0014430898048147934
26,0.0014374725267228305
27,0.0014055349617183475
28,0.0016695520107188548
29,0.0016640994897993522
30,2.9729985349507223e-10
31,2.5769154185897247e-10
32,0.0013751428444209602
33,0.0019519857310961958
34,7.708194315284993e-07
35,0.0016076105374871494
36,0.0016015939627307533
37,0.0013187367634647082
38,0.0013119110073657415
39,0.001284624873929046
40,0.0012775309916126425
41,0.001570490915846749
42,0.0015440091770588349
43,0.0015373797584704364
44,0.0012482418124883184
45,0.0015238756726830224
46,0.0015001321113427902
47,0.0012083052647380208
48,0.0015029650635895264
49,0.0014958082469694921
50,0.0014714468394013095
51,0.0011759459989712188
52,0.0011675570665539176
53,0.0014488806777411592
54,0.001441138106171032
55,0.0011416026268411825
56,0.0011326722852989604
57,0.001123593681571098
58,0.0011143610733034507
59,0.0008573505457477855
60,0.0008473993498191992
61,0.0008372785332251785
62,0.0010627109766981706
63,0.0010656629478910222
64,0.001055365859107743
65,0.001347032020498882
66,0.0010341485148133605
67,0.0013277606202583565
68,0.0013356440603991546
69,0.001348301507332688
70,0.0016816796499194836
71,0.0013274004497478508
72,0.0012935456055246017
73,0.0009687052268445601
74,0.0009557642512163215
75,0.0006883871367333361
76,0.000928851120761241
77,0.0009148423432461751
78,0.0009004389435816655
79,0.0011907099554777749
80,0.0015900706901052573
81,5.770539554397973e-08
82,0.002064511660457481
83,0.0020591452299796534
84,0.002589218806904109
85,0.002564169616400872
86,0.0026230222705850665
87,0.003204812210073285
88,0.003762172529389897
89,0.0038031199162301584
90,0.0032122301115723503
91,1.1250613502439545e-07
92,0.003830333895323115
93,0.0038507675920774302
94,0.004394919727450915
95,0.0043848007277297145
96,0.003888178496126951
97,0.0039150455306908
98,0.004470535343250715
99,0.0039764092459487485
100,0.004011555771947432
101,0.004050196115537773
102,0.004521389340567264
103,0.004541800132190151
104,0.004561371142389168
105,0.004579321006461624
106,0.00431384545046385
107,0.003819322162446987
108,0.003936192930482546
109,0.004031495327542817
110,0.004216885991027506
111,0.004463020218845672
112,0.004800256961089182
113,0.005277945592825604
114,0.004830566314629635
115,0.004670108073935089
116,0.00423600650948883
117,0.0032824274317164244
